date close
0 1120
1 1159
2 1238
3 1232
4 1293
5 1378
6 1470
7 1502
8 1465
9 1328
10 1382
11 1465
12 1566
13 1485
14 1498
15 1422
16 1337
17 1523
18 1373
19 1254
20 1056
21 1158
22 1346
23 1505
24 1701
25 1714
26 1572
27 1656
28 1692
29 1653
30 1501
31 1382
32 1549
33 1702
34 1511
35 1454
36 1317
37 1460
38 1474
39 1622
40 1493
41 1688
42 1772
43 1695
44 1849
45 1792
46 1875
47 2057
48 2146
49 2070
50 2001
51 2101
52 2168
53 2183
54 2037
55 2065
56 1949
57 1862
58 1879
59 1895
60 2022
61 1962
62 2076
63 2009
64 2080
65 2213
66 2069
67 2208
68 2030
69 2101
70 1974
71 1959
72 1877
73 1720
74 1693
75 1729
76 1551
77 1665
78 1582
79 1568
80 1612
81 1737
82 1691
83 1749
84 1777
85 1720
86 1890
87 1738
88 1826
89 1928
